pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	srnn_hidden650_batch128_dropout0.0_lr1.0	srnn_hidden650_batch128_dropout0.0_lr0.5	srnn_hidden650_batch128_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr1.0	srnn_hidden650_batch128_dropout0.1_lr0.5	srnn_hidden650_batch128_dropout0.2_lr10.0	srnn_hidden650_batch128_dropout0.1_lr10.0	srnn_hidden650_batch128_dropout0.2_lr5.0	srnn_hidden650_batch64_dropout0.0_lr1.0	srnn_hidden650_batch64_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.0_lr0.5	srnn_hidden650_batch64_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.2_lr0.5	srnn_hidden650_batch128_dropout0.2_lr1.0	srnn_hidden650_batch64_dropout0.1_lr0.5	srnn_hidden650_batch64_dropout0.1_lr1.0	srnn_hidden650_batch64_dropout0.1_lr10.0	srnn_hidden650_batch64_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.2_lr0.5	srnn_hidden650_batch64_dropout0.2_lr10.0	srnn_hidden650_batch64_dropout0.2_lr5.0	srnn_hidden650_batch64_dropout0.2_lr1.0
R__VERB_NOUN_CCONJ_VERB	60	5	sing	покрывают	wrong	generated	Выполнение грузинского морского суицида целесообразно отнюдь поесть ветку на одних вагонах агентства в шее с тем , что любой инстинкт сложения холодного угля обстоятельствами - необычными отрядами , не окружающими в Кубань , не совершил возглавляемой этой логикой атаки в двух вируса романов в резерв и	0	True	210	12	46	"Выполнение грузинского морского суицида целесообразно отнюдь поесть ветку на одних вагонах агентства в шее с тем , что любой инстинкт сложения холодного угля обстоятельствами - необычными отрядами , не окружающими в Кубань , не совершил возглавляемой этой логикой атаки в двух вируса романов в резерв и заводит к экономическому образцу трех эмоций двух бросков , заменяет ЧП "" НКО "" . <eos>"	-16.5255	-16.7681	-13.3422	-11.7362	-15.4428	-15.3878	-13.8723	-16.0231	-16.0574	-14.5845	-12.7031	-14.0575	-15.9508	-15.8758	-14.4789	-16.0819	-13.0495	-14.8622	-14.6193	-13.6793	-15.3745	-14.5095	-11.8678	-15.2897
L__DET_ADJ_NOUN	1	3	plur	модели	correct	generated	Выступая все эти и культурные послевоенные	0	False	5551	4	6	Выступая все эти и культурные послевоенные палки , любители перевели музей правительственной школьной реставрации , который , ориентировочно , например отказывается в обучении . <eos>	-8.79123	-8.04202	-10.0782	-8.71398	-7.52633	-9.03939	-7.97111	-7.99205	-8.19982	-9.21222	-8.72234	-9.60647	-7.90426	-9.26222	-9.1748	-8.94654	-9.50473	-8.55994	-9.7294	-9.94639	-9.61767	-8.48021	-8.53922	-8.12498
L__DET_ADJ_NOUN	1	3	plur	модель	wrong	generated	Выступая все эти и культурные послевоенные	0	False	3347	4	6	Выступая все эти и культурные послевоенные палки , любители перевели музей правительственной школьной реставрации , который , ориентировочно , например отказывается в обучении . <eos>	-12.7897	-12.5663	-12.4904	-9.75187	-12.4445	-13.4932	-10.716	-12.4106	-13.2166	-14.1031	-10.9611	-13.912	-10.6316	-13.8586	-13.3619	-13.011	-12.569	-12.2314	-13.6453	-11.888	-13.1153	-13.5818	-11.5038	-13.1729
R__VERB_NOUN_CCONJ_PART_VERB	6	9	plur	располагаются	correct	generated	- К прочности делятся участки , институтом которых заканчиваются больно управления производственного финала , и не	0	True	1507	13	16	- К прочности делятся участки , институтом которых заканчиваются больно управления производственного финала , и не касаются овощи любые и постоянные , то формулирует такие , в которых абсолютный флигель не желает быть завершен от спортивного , древнего или какого-либо прочего . <eos>	-13.5943	-9.83131	-10.2079	-10.3111	-10.9801	-9.28891	-8.43	-11.8077	-10.4005	-11.568	-8.79313	-9.2066	-11.0043	-11.3505	-9.03082	-9.80143	-9.70602	-10.077	-10.0787	-11.0676	-9.61301	-10.9088	-9.84676	-10.8078
R__VERB_NOUN_CCONJ_PART_VERB	6	9	plur	располагается	wrong	generated	- К прочности делятся участки , институтом которых заканчиваются больно управления производственного финала , и не	0	True	3192	13	16	- К прочности делятся участки , институтом которых заканчиваются больно управления производственного финала , и не касаются овощи любые и постоянные , то формулирует такие , в которых абсолютный флигель не желает быть завершен от спортивного , древнего или какого-либо прочего . <eos>	-13.9461	-10.7618	-12.1805	-9.26206	-9.96045	-11.4052	-9.16359	-14.5785	-9.5551	-12.4846	-12.1476	-12.4221	-10.9687	-11.1102	-8.80399	-8.95873	-11.0373	-10.4627	-11.3177	-11.0082	-10.7945	-10.257	-10.755	-11.0215
R__VERB_NOUN_CCONJ_VERB	5	2	sing	увеличивает	correct	generated	Ряд стоит опрос лекарств на пересмотре юноши и	0	False	667	7	8	Ряд стоит опрос лекарств на пересмотре юноши и раскрывает ( вытекает ) мечту . <eos>	-11.0405	-10.3039	-9.88053	-11.0736	-9.96432	-9.61646	-11.2786	-10.1042	-10.6558	-8.93796	-11.0798	-8.71433	-10.6695	-10.715	-10.7495	-9.68688	-9.77392	-9.48502	-9.24832	-8.7196	-12.0951	-11.1856	-11.1485	-9.09159
R__VERB_NOUN_CCONJ_VERB	5	2	sing	увеличивают	wrong	generated	Ряд стоит опрос лекарств на пересмотре юноши и	0	False	224	7	8	Ряд стоит опрос лекарств на пересмотре юноши и раскрывает ( вытекает ) мечту . <eos>	-11.5309	-12.3555	-13.1707	-11.983	-9.13238	-10.8451	-10.6953	-10.7627	-10.614	-10.3442	-11.0962	-11.4415	-11.9071	-12.2776	-11.5926	-10.9693	-11.3287	-11.7002	-11.1261	-10.9169	-11.5672	-11.7974	-11.1124	-11.0614
L__NOUN_PUNCT_VERB_ADV_VERB	3	3	sing	учится	correct	generated	Особой полосой , окружающей регионы машинного удовлетворения заместителей , искусно	2	True	654	9	10	Особой полосой , окружающей регионы машинного удовлетворения заместителей , искусно приближается совещание вольностей , продаж , цифровых манускриптов , любых телефонов и понемногу повторно . <eos>	-11.0396	-9.59221	-12.8671	-11.3796	-11.2583	-11.9243	-13.4469	-11.1436	-10.8105	-10.8566	-11.4924	-12.5324	-11.2525	-11.6662	-12.5132	-11.9649	-12.1711	-12.0766	-10.4327	-15.2743	-12.9249	-9.85569	-13.187	-11.1229
L__NOUN_PUNCT_VERB_ADV_VERB	3	3	sing	учатся	wrong	generated	Особой полосой , окружающей регионы машинного удовлетворения заместителей , искусно	2	True	385	9	10	Особой полосой , окружающей регионы машинного удовлетворения заместителей , искусно приближается совещание вольностей , продаж , цифровых манускриптов , любых телефонов и понемногу повторно . <eos>	-11.2073	-10.6503	-15.0566	-11.7662	-12.2819	-12.0673	-12.6942	-11.0181	-13.2811	-12.6184	-11.423	-11.6875	-13.1645	-12.7379	-11.7373	-11.098	-11.547	-12.3393	-12.1391	-12.0185	-12.1606	-10.1988	-14.21	-12.379
L__ADJ_PUNCT_ADJ_NOUN	53	4	sing	километре	correct	generated	Официальное на четвертый продукт размещение в фотографиях увеличивает переводить статистику . сообща , что представление работоспособности обострения явления на национальном , кроме крепкого ,	0	True	231	5	24	Официальное на четвертый продукт размещение в фотографиях увеличивает переводить статистику . сообща , что представление работоспособности обострения явления на национальном , кроме крепкого , образе не есть зависть важности . <eos>	-20.053	-17.8127	-22.1496	-13.0746	-20.7606	-18.8704	-15.9405	-18.2445	-20.4309	-21.6646	-18.3735	-18.1667	-19.1408	-22.8044	-18.8092	-21.4196	-19.1604	-21.1651	-20.6424	-17.8852	-20.9707	-17.9991	-17.9553	-21.2618
L__ADJ_PUNCT_ADJ_NOUN	53	4	sing	километрах	wrong	generated	Официальное на четвертый продукт размещение в фотографиях увеличивает переводить статистику . сообща , что представление работоспособности обострения явления на национальном , кроме крепкого ,	0	True	1741	5	24	Официальное на четвертый продукт размещение в фотографиях увеличивает переводить статистику . сообща , что представление работоспособности обострения явления на национальном , кроме крепкого , образе не есть зависть важности . <eos>	-16.6802	-16.7932	-19.6526	-11.6992	-17.7733	-17.622	-14.0718	-15.0285	-16.924	-17.1342	-18.8007	-13.9664	-16.9565	-18.2547	-18.6465	-18.6439	-16.5415	-17.6961	-17.3535	-17.3902	-18.5938	-19.3619	-18.3364	-17.409
L__ADJ_PUNCT_ADJ_NOUN	6	1	sing	препарат	correct	generated	Фактически ему нелегально успокоить в длинную болезнь ( достойный свинец ) , а по изменении дождаться на явные инвестиции пары в чувствах и списках , выпить массовый , а приблизительно и весомый	0	True	371	6	32	Фактически ему нелегально успокоить в длинную болезнь ( достойный свинец ) , а по изменении дождаться на явные инвестиции пары в чувствах и списках , выпить массовый , а приблизительно и весомый сигнал , приостановить оценить ( до трех продуктов ) в квалификацию , выявить и распустить исследовательскую сказку , и только к трех - трех результатам он начнет , успев теоретическую толпу , познакомиться автором опытных проб . <eos>	-9.1658	-10.7251	-11.2587	-11.4953	-10.3597	-10.4139	-11.1864	-8.90377	-9.93686	-7.64802	-9.83593	-9.71729	-10.0965	-8.99392	-9.76872	-10.8846	-9.27507	-11.4928	-11.0176	-10.383	-8.89711	-9.13933	-10.7418	-10.8193
L__ADJ_PUNCT_ADJ_NOUN	6	1	sing	препараты	wrong	generated	Фактически ему нелегально успокоить в длинную болезнь ( достойный свинец ) , а по изменении дождаться на явные инвестиции пары в чувствах и списках , выпить массовый , а приблизительно и весомый	0	True	331	6	32	Фактически ему нелегально успокоить в длинную болезнь ( достойный свинец ) , а по изменении дождаться на явные инвестиции пары в чувствах и списках , выпить массовый , а приблизительно и весомый сигнал , приостановить оценить ( до трех продуктов ) в квалификацию , выявить и распустить исследовательскую сказку , и только к трех - трех результатам он начнет , успев теоретическую толпу , познакомиться автором опытных проб . <eos>	-13.7577	-15.2692	-16.6492	-11.5847	-14.9916	-14.6893	-10.6225	-12.7207	-13.2663	-14.3431	-13.2703	-14.2327	-15.6906	-16.0035	-14.9487	-14.2181	-14.1279	-14.3367	-15.5645	-11.5481	-12.3336	-9.83449	-11.8626	-13.3362
L__ADJ_ADJ_NOUN	8	2	plur	ящики	correct	generated	Размножение и валютный стимул в общественных мастерских собирают армейские и даже душевные	0	False	190	4	12	Размножение и валютный стимул в общественных мастерских собирают армейские и даже душевные заказы поры за кофе ножа дна защитных звуковых департаментов , многолетних чаще февраля информации ( беда , осада , общины , густая ликвидация , известный кредит и однажды всецело . ) . <eos>	-9.60659	-9.78357	-11.2654	-12.0097	-8.64982	-9.45879	-12.2126	-12.1072	-10.6349	-10.4769	-9.64495	-10.9669	-10.8028	-11.1601	-9.86008	-9.67823	-10.525	-9.75248	-12.1939	-9.87552	-8.6131	-9.35376	-10.7051	-10.2224
L__ADJ_ADJ_NOUN	8	2	plur	ящик	wrong	generated	Размножение и валютный стимул в общественных мастерских собирают армейские и даже душевные	0	False	393	4	12	Размножение и валютный стимул в общественных мастерских собирают армейские и даже душевные заказы поры за кофе ножа дна защитных звуковых департаментов , многолетних чаще февраля информации ( беда , осада , общины , густая ликвидация , известный кредит и однажды всецело . ) . <eos>	-14.8333	-16.5361	-15.9591	-11.8345	-13.8664	-15.2226	-12.5466	-15.9253	-14.0161	-16.2323	-16.5202	-15.3273	-16.1256	-14.6217	-14.0081	-15.3638	-15.076	-16.6455	-16.3	-13.9696	-14.3476	-12.3835	-14.1152	-14.8067
L__ADJ_NOUN_NOUN	35	5	sing	деталь	correct	generated	Это - крупнейшая за автономные оба витамина	1	True	241	5	7	Это - крупнейшая за автономные оба витамина функция прочих постановлений и переходных цветов . <eos>	-15.1975	-18.12	-19.6951	-12.2952	-17.696	-17.0912	-15.664	-17.9564	-16.6812	-17.5643	-17.6577	-16.1939	-16.991	-14.5576	-14.9213	-16.5132	-16.647	-15.2207	-18.4505	-16.7777	-16.0778	-14.6517	-14.534	-14.4047
L__ADJ_NOUN_NOUN	35	5	sing	детали	wrong	generated	Это - крупнейшая за автономные оба витамина	1	True	1608	5	7	Это - крупнейшая за автономные оба витамина функция прочих постановлений и переходных цветов . <eos>	-13.3309	-17.9235	-18.396	-10.4169	-16.1832	-17.0109	-12.033	-16.7932	-14.3904	-15.6508	-16.6505	-15.4666	-16.3261	-11.8856	-13.9731	-16.4551	-15.63	-14.3029	-16.9281	-15.6483	-13.9276	-14.3171	-13.0373	-13.575
R__VERB_NOUN_CCONJ_VERB	56	1	sing	трудится	correct	generated	Сколько , логично было примирить , частично случается старинная череда и	0	True	160	4	11	Сколько , логично было примирить , частично случается старинная череда и ценится знаменитая рука . <eos>	-19.4209	-15.1765	-17.235	-12.0488	-16.2936	-16.1935	-12.7041	-16.097	-16.7833	-15.7294	-15.3515	-17.0933	-16.4395	-16.9393	-16.9397	-17.1359	-15.777	-16.1878	-15.5911	-15.861	-16.4597	-12.7013	-15.3602	-16.5201
R__VERB_NOUN_CCONJ_VERB	56	1	sing	трудятся	wrong	generated	Сколько , логично было примирить , частично случается старинная череда и	0	True	164	4	11	Сколько , логично было примирить , частично случается старинная череда и ценится знаменитая рука . <eos>	-18.7359	-15.6132	-17.8514	-12.2473	-18.8462	-16.9882	-14.8113	-18.7884	-17.1262	-17.258	-14.7244	-16.823	-17.6714	-18.3836	-16.4471	-17.7438	-18.475	-18.8221	-16.6317	-17.0234	-17.5844	-16.3426	-15.1164	-16.6303
L__ADJ_ADJ_NOUN	9	1	sing	свободы	correct	generated	Но в участии на раздражение интервью увеличивают домашние : морды того или общественного правительства , мечи соответствующей территориально - всемирной	0	True	5227	4	20	Но в участии на раздражение интервью увеличивают домашние : морды того или общественного правительства , мечи соответствующей территориально - всемирной интеллигенции . <eos>	-8.45523	-6.67883	-9.44069	-8.47386	-7.8007	-9.22969	-6.93698	-9.698	-8.90988	-7.60361	-6.88452	-7.97768	-7.2681	-6.27455	-8.08743	-6.71418	-9.30587	-7.96399	-8.7816	-7.40129	-8.33128	-8.51861	-7.81706	-10.0042
L__ADJ_ADJ_NOUN	9	1	sing	свобод	wrong	generated	Но в участии на раздражение интервью увеличивают домашние : морды того или общественного правительства , мечи соответствующей территориально - всемирной	0	True	797	4	20	Но в участии на раздражение интервью увеличивают домашние : морды того или общественного правительства , мечи соответствующей территориально - всемирной интеллигенции . <eos>	-16.144	-17.262	-15.1986	-10.911	-16.4394	-16.7837	-11.2986	-15.6112	-16.8776	-16.1638	-13.7892	-13.0717	-15.5582	-16.9117	-17.322	-15.0277	-18.4992	-16.8734	-16.8602	-12.7387	-17.8137	-17.5495	-15.2526	-17.7371
L__ADJ_PUNCT_ADJ_NOUN	23	5	sing	гарантию	correct	generated	Первый холод : приказ захочет и станцию , и стадо к партии поля дочерних штук , ужасных посадить в Луне культурную положительную , да и чистую	0	True	117	5	26	Первый холод : приказ захочет и станцию , и стадо к партии поля дочерних штук , ужасных посадить в Луне культурную положительную , да и чистую процедуру . <eos>	-9.89235	-10.0044	-8.92864	-12.3707	-9.2436	-9.98583	-13.0771	-7.96603	-8.88184	-9.12133	-10.1966	-8.77847	-8.72594	-10.3715	-9.42217	-8.95951	-9.05186	-8.40214	-10.506	-8.58241	-9.74605	-10.7967	-11.3765	-8.3874
L__ADJ_PUNCT_ADJ_NOUN	23	5	sing	гарантии	wrong	generated	Первый холод : приказ захочет и станцию , и стадо к партии поля дочерних штук , ужасных посадить в Луне культурную положительную , да и чистую	0	True	522	5	26	Первый холод : приказ захочет и станцию , и стадо к партии поля дочерних штук , ужасных посадить в Луне культурную положительную , да и чистую процедуру . <eos>	-12.3405	-10.5747	-10.9346	-11.4614	-12.746	-12.0694	-9.52971	-10.5425	-12.0144	-10.046	-14.224	-12.042	-10.5058	-14.0915	-12.7476	-13.2394	-12.4022	-12.7223	-12.6344	-9.31556	-13.8584	-10.8303	-11.4009	-12.729
L__ADJ_ADJ_NOUN	75	4	plur	корпуса	correct	generated	В чемпионате жары будут выпускаться прибыль на Российском Бейруте , трактор отделки против шельфа и теплые современные и зимние	0	True	5981	4	19	В чемпионате жары будут выпускаться прибыль на Российском Бейруте , трактор отделки против шельфа и теплые современные и зимние платежи . <eos>	-10.7582	-7.73069	-11.0942	-8.45982	-11.5716	-10.8926	-10.3995	-8.95588	-8.47422	-11.2996	-8.46644	-8.76797	-8.20974	-7.99091	-9.44116	-10.213	-10.7742	-12.3971	-8.05328	-7.50868	-11.0989	-8.06133	-9.74696	-10.9317
L__ADJ_ADJ_NOUN	75	4	plur	корпус	wrong	generated	В чемпионате жары будут выпускаться прибыль на Российском Бейруте , трактор отделки против шельфа и теплые современные и зимние	0	True	3567	4	19	В чемпионате жары будут выпускаться прибыль на Российском Бейруте , трактор отделки против шельфа и теплые современные и зимние платежи . <eos>	-12.2877	-11.4042	-12.7233	-9.42913	-14.5009	-12.9579	-9.08855	-14.4989	-11.9389	-13.2757	-15.1564	-12.3781	-12.0098	-12.1831	-12.5385	-13.9138	-13.6555	-15.9371	-10.866	-11.6182	-13.4928	-10.3607	-11.5763	-12.977
L__ADJ_PUNCT_ADJ_NOUN	33	6	plur	укрытий	correct	generated	Лидеры замечают , что в этих разработках уклон от письменных , не локально ювелирных ,	0	True	112	6	15	Лидеры замечают , что в этих разработках уклон от письменных , не локально ювелирных , достоинств заслуживает . <eos>	-12.6258	-11.428	-11.5911	-13.5714	-13.3063	-12.4122	-13.2533	-12.9369	-13.4963	-10.9645	-13.0257	-12.9089	-11.6206	-12.2516	-11.2259	-11.4117	-11.5924	-11.9962	-14.6853	-14.4792	-10.7087	-10.4875	-12.3383	-12.2427
L__ADJ_PUNCT_ADJ_NOUN	33	6	plur	укрытия	wrong	generated	Лидеры замечают , что в этих разработках уклон от письменных , не локально ювелирных ,	0	True	272	6	15	Лидеры замечают , что в этих разработках уклон от письменных , не локально ювелирных , достоинств заслуживает . <eos>	-13.5792	-13.0349	-15.5633	-12.9648	-12.7898	-12.1175	-13.3453	-12.1365	-14.0445	-13.0046	-13.7174	-13.026	-11.8632	-14.2365	-11.6344	-12.5203	-11.9022	-14.3264	-14.5008	-13.6532	-12.5534	-11.4586	-12.788	-12.6238
L__DET_ADJ_ADJ_NOUN	11	4	plur	планам	correct	generated	Не преподает ли это скрывать нашим немецким и средним различным	0	False	572	5	10	Не преподает ли это скрывать нашим немецким и средним различным факторам ? <eos>	-9.20902	-7.24709	-8.93468	-11.3713	-10.6457	-10.2297	-11.5775	-8.5254	-10.1654	-11.8938	-7.82494	-9.12969	-11.0709	-9.16752	-10.1757	-10.7348	-9.24351	-9.82792	-11.2201	-8.06329	-9.63311	-9.59593	-9.71222	-9.78921
L__DET_ADJ_ADJ_NOUN	11	4	plur	плану	wrong	generated	Не преподает ли это скрывать нашим немецким и средним различным	0	False	1110	5	10	Не преподает ли это скрывать нашим немецким и средним различным факторам ? <eos>	-11.925	-12.2649	-11.7493	-10.7437	-13.906	-13.4854	-12.8414	-12.7875	-13.8271	-14.104	-12.9599	-13.573	-14.2645	-13.432	-15.147	-14.5113	-13.1543	-13.4991	-14.1802	-11.8337	-13.3699	-12.0985	-12.942	-14.8744
L__ADJ_NOUN_NOUN	40	9	plur	темпы	correct	generated	Происходит указание и то , что рассчитывать нашему транспорту обращается , с княжеской ликвидности , в печати долгого заимствования и столкновения , а с южной - в объединениях являющихся подозрительных и плоских забастовок , которые , учитывая , бьют конь президента , вызывая правильные и мирно не полового применения	1	True	502	6	49	Происходит указание и то , что рассчитывать нашему транспорту обращается , с княжеской ликвидности , в печати долгого заимствования и столкновения , а с южной - в объединениях являющихся подозрительных и плоских забастовок , которые , учитывая , бьют конь президента , вызывая правильные и мирно не полового применения тексты . <eos>	-18.4769	-17.0244	-18.1698	-12.132	-17.8303	-18.7245	-12.4668	-16.3038	-15.9855	-18.4205	-14.9892	-16.515	-15.8421	-16.6737	-18.3355	-16.3979	-19.7382	-16.8288	-18.696	-15.0717	-18.1865	-17.3614	-15.8983	-16.2478
L__ADJ_NOUN_NOUN	40	9	plur	темп	wrong	generated	Происходит указание и то , что рассчитывать нашему транспорту обращается , с княжеской ликвидности , в печати долгого заимствования и столкновения , а с южной - в объединениях являющихся подозрительных и плоских забастовок , которые , учитывая , бьют конь президента , вызывая правильные и мирно не полового применения	1	True	543	6	49	Происходит указание и то , что рассчитывать нашему транспорту обращается , с княжеской ликвидности , в печати долгого заимствования и столкновения , а с южной - в объединениях являющихся подозрительных и плоских забастовок , которые , учитывая , бьют конь президента , вызывая правильные и мирно не полового применения тексты . <eos>	-17.9398	-16.7807	-16.4682	-11.718	-15.8218	-18.8795	-11.0576	-17.4497	-15.4254	-16.041	-15.9426	-17.1359	-15.8153	-17.6483	-17.0094	-16.8509	-17.4482	-17.3824	-17.012	-15.3687	-16.7664	-16.93	-15.5953	-16.4236
R__VERB_NOUN_CCONJ_VERB	11	3	plur	берутся	correct	generated	Хотя до улицы кратко технически , монголы агрессивно спрашивают проценты плоских ссылок и	0	True	136	5	13	Хотя до улицы кратко технически , монголы агрессивно спрашивают проценты плоских ссылок и исполняются сформировать с парой весь евро . <eos>	-8.30738	-10.0789	-11.3604	-12.3427	-8.84301	-9.47853	-12.6745	-10.8404	-10.9908	-8.89986	-10.9808	-8.82311	-9.55363	-12.0931	-10.5137	-9.4145	-9.49162	-9.66826	-9.74924	-11.7456	-9.5207	-11.0239	-13.1692	-10.2236
R__VERB_NOUN_CCONJ_VERB	11	3	plur	берется	wrong	generated	Хотя до улицы кратко технически , монголы агрессивно спрашивают проценты плоских ссылок и	0	True	119	5	13	Хотя до улицы кратко технически , монголы агрессивно спрашивают проценты плоских ссылок и исполняются сформировать с парой весь евро . <eos>	-10.9475	-12.2702	-11.6205	-12.4503	-11.6736	-10.8267	-12.433	-11.2259	-11.4038	-11.7468	-11.6363	-11.9912	-10.8379	-12.7936	-11.0971	-11.4899	-11.1448	-11.534	-11.2977	-11.6978	-10.9607	-11.4838	-13.1275	-10.9437
R__VERB_NOUN_CCONJ_VERB	36	8	sing	совпадает	correct	generated	Свадьба ложится на судах и достижениях республиканской кафедры и	0	False	794	8	9	Свадьба ложится на судах и достижениях республиканской кафедры и уступает собой социальную простоту явного вручения . <eos>	-14.9231	-15.5723	-14.8141	-11.0578	-12.8832	-13.853	-11.4132	-13.5397	-14.2328	-15.5053	-13.3838	-13.9485	-15.9324	-15.543	-13.5231	-12.7777	-14.2319	-12.9524	-13.3704	-15.2377	-12.645	-14.6413	-12.5274	-11.9134
R__VERB_NOUN_CCONJ_VERB	36	8	sing	совпадают	wrong	generated	Свадьба ложится на судах и достижениях республиканской кафедры и	0	False	551	8	9	Свадьба ложится на судах и достижениях республиканской кафедры и уступает собой социальную простоту явного вручения . <eos>	-13.9584	-14.8471	-16.4083	-11.0991	-14.6693	-14.3438	-10.5862	-13.6797	-16.4721	-17.9637	-14.3696	-14.8815	-16.2806	-18.4832	-14.1109	-13.9797	-16.2674	-15.3821	-16.5042	-16.9638	-12.9969	-15.4513	-14.4751	-14.3688
R__VERB_NOUN_CCONJ_VERB	22	9	sing	предлагает	correct	generated	По сообществу с неизменными углами , <unk> бежит трех изделия ( в снегу его неизменно не максимально ) и	0	True	2840	12	19	По сообществу с неизменными углами , ButtKicker бежит трех изделия ( в снегу его неизменно не максимально ) и улетает трижды трех правительств массовым немцам втрое . <eos>	-11.792	-9.03877	-9.88576	-9.58839	-8.74396	-9.34656	-8.31971	-9.36742	-8.79851	-8.92283	-7.88433	-8.8472	-9.5822	-9.14583	-9.88105	-9.35376	-8.7629	-9.10527	-8.94745	-8.3717	-8.90532	-9.30242	-8.22327	-9.21961
R__VERB_NOUN_CCONJ_VERB	22	9	sing	предлагают	wrong	generated	По сообществу с неизменными углами , <unk> бежит трех изделия ( в снегу его неизменно не максимально ) и	0	True	782	12	19	По сообществу с неизменными углами , ButtKicker бежит трех изделия ( в снегу его неизменно не максимально ) и улетает трижды трех правительств массовым немцам втрое . <eos>	-11.7912	-10.9093	-9.09131	-11.0256	-9.31264	-10.649	-9.52149	-9.90277	-9.75737	-9.09746	-9.28851	-9.05282	-10.0129	-9.80452	-11.4377	-10.3035	-8.89759	-9.95048	-9.93439	-10.8181	-10.0838	-10.8047	-9.42575	-11.0674
L__ADJ_ADJ_NOUN	80	5	plur	сообщениям	correct	generated	Это изменение произвело депо слабым текущим и свободным	1	False	590	4	8	Это изменение произвело депо слабым текущим и свободным условиям . <eos>	-10.153	-10.9842	-10.7136	-11.7798	-8.99442	-10.8022	-16.0616	-10.2612	-10.6324	-10.0066	-10.8889	-10.666	-11.2099	-10.2533	-10.3868	-10.1645	-9.82055	-9.49993	-11.3088	-11.1359	-10.5197	-11.9937	-11.4213	-9.70161
L__ADJ_ADJ_NOUN	80	5	plur	сообщению	wrong	generated	Это изменение произвело депо слабым текущим и свободным	1	False	543	4	8	Это изменение произвело депо слабым текущим и свободным условиям . <eos>	-13.0908	-13.6726	-12.4953	-11.851	-13.5816	-14.112	-15.9005	-13.2303	-11.3256	-13.5988	-12.9724	-14.0204	-14.23	-13.6002	-13.3276	-13.7398	-13.8413	-12.17	-13.8593	-14.2716	-12.4912	-14.0292	-11.8894	-12.8963
L__ADJ_ADJ_NOUN	9	9	sing	массы	correct	generated	Но в прекращении на умение имен помещают традиционные : претензии того или энергетического пресечения , полеты хорошей территориально - журналистской	0	True	2501	4	20	Но в прекращении на умение имен помещают традиционные : претензии того или энергетического пресечения , полеты хорошей территориально - журналистской добычи . <eos>	-11.4328	-9.04086	-7.93036	-9.58025	-11.2437	-9.76888	-9.91544	-10.2343	-8.71423	-12.4951	-10.864	-11.2264	-11.4532	-11.2316	-8.21383	-9.75312	-10.8132	-9.77785	-11.5694	-6.66787	-9.99461	-9.91183	-6.74668	-9.38628
L__ADJ_ADJ_NOUN	9	9	sing	масс	wrong	generated	Но в прекращении на умение имен помещают традиционные : претензии того или энергетического пресечения , полеты хорошей территориально - журналистской	0	True	1292	4	20	Но в прекращении на умение имен помещают традиционные : претензии того или энергетического пресечения , полеты хорошей территориально - журналистской добычи . <eos>	-17.3622	-14.0181	-15.8414	-10.4595	-15.0255	-13.6753	-8.82083	-13.7315	-13.6893	-13.2349	-13.7394	-15.1452	-13.0633	-16.8387	-12.9467	-14.1404	-12.2426	-12.3593	-13.758	-12.2832	-13.4996	-11.8096	-9.82431	-13.5985
L__ADJ_PUNCT_ADJ_NOUN	13	0	sing	формула	correct	original	Следующая , третья по счету ,	0	True	427	6	6	Следующая , третья по счету , формула управления Петербургом могла бы стать такой : помогать всему , что повышает конкурентоспособность города , и устранять все , что ее понижает . <eos>	-9.70208	-10.7442	-10.0687	-11.8274	-10.0977	-11.7077	-12.6922	-11.6016	-10.9496	-10.0788	-12.0852	-10.4469	-12.1016	-10.2586	-11.5996	-10.6506	-10.8406	-10.0527	-11.0159	-11.6059	-10.8557	-12.2738	-12.5949	-11.0244
L__ADJ_PUNCT_ADJ_NOUN	13	0	sing	формулы	wrong	original	Следующая , третья по счету ,	0	True	416	6	6	Следующая , третья по счету , формула управления Петербургом могла бы стать такой : помогать всему , что повышает конкурентоспособность города , и устранять все , что ее понижает . <eos>	-16.7199	-15.0411	-12.7294	-12.3012	-14.561	-13.7768	-13.0277	-12.9475	-14.5431	-15.7518	-15.7188	-14.7546	-15.7824	-14.4985	-13.9072	-14.1856	-12.9191	-14.6676	-13.6637	-15.1643	-13.3821	-12.0053	-12.9365	-14.1114
