pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0
R__NOUN_NOUN_DET_ADJ	70	4	plur	כתומים	correct	generated	זה שסתומים נרחבים ש נבחרי ה כינור ה	1	False	87	4	8	זה שסתומים נרחבים ש נבחרי ה כינור ה מוגזים הזומבים ל סנטימטר ה טריטוריאלי על ה כוחות ה סטטיים . <eos>	-10.9433	-10.4176	-9.25888	-8.40162	-10.0372	-10.0838	-10.2202	-10.1216	-8.92614	-10.3801	-15.9015	-9.02474	-11.6589	-10.3155	-14.0184	-9.7696	-7.56968	-8.16713	-8.67222	-7.03717	-14.8793	-9.86581	-12.3994	-7.96126	-11.3481	-12.6901	-9.71457	-13.8517	-10.0515	-11.4398	-8.5478	-8.75709	-11.1736	-7.21709	-10.5957	-8.98346
R__NOUN_NOUN_DET_ADJ	70	4	plur	כתום	wrong	generated	זה שסתומים נרחבים ש נבחרי ה כינור ה	1	False	683	4	8	זה שסתומים נרחבים ש נבחרי ה כינור ה מוגזים הזומבים ל סנטימטר ה טריטוריאלי על ה כוחות ה סטטיים . <eos>	-9.274	-12.7997	-12.8081	-12.9166	-10.1155	-14.1007	-13.0624	-13.7586	-14.2889	-14.4538	-16.0604	-7.34052	-11.1471	-12.5177	-12.362	-13.037	-10.7119	-12.9947	-12.1693	-8.76306	-11.3624	-15.4378	-9.78879	-11.5986	-13.135	-13.668	-12.0968	-13.9699	-12.9084	-10.7883	-11.8837	-10.8926	-13.9417	-10.0491	-13.5577	-10.2545
R__NOUN_NOUN_DET_ADJ	8	4	plur	לאומניות	correct	generated	רטוריקה , ש ב שלוש כפפות ה שריקות ה	0	True	127	4	9	רטוריקה , ש ב שלוש כפפות ה שריקות ה רפורמיות ה נקניק היה ייחודי : ה הדפס היה על ה משקע ה קאמרי , ו ה חוסר תיפקד ל פעלי ה צלחות בלבד ; ב שלוש בנות ה הזדמנויות ה אלה לא נסגר יל את שיוך ה תבערה , ו אילו ב השכרת ה התפתחויות של 4891 , הוא אירע אל מנסרות גבוהות יותר בעיקר העברות ה נציבות ב גיור ש כולנו מתקבצים , ו הציג כמעט ב שני דמוקרטים . <eos>	-11.7661	-13.2895	-10.6466	-14.0319	-15.068	-15.9829	-13.7797	-11.0643	-12.7406	-11.192	-14.7103	-10.6016	-13.9129	-15.8713	-11.482	-15.2332	-11.1089	-13.4108	-11.035	-11.9389	-11.595	-13.4354	-11.6584	-12.1773	-11.95	-10.8744	-12.2836	-14.7112	-12.3419	-13.1218	-11.6371	-16.1066	-11.4868	-12.598	-10.2853	-12.9353
R__NOUN_NOUN_DET_ADJ	8	4	plur	לאומנית	wrong	generated	רטוריקה , ש ב שלוש כפפות ה שריקות ה	0	True	277	4	9	רטוריקה , ש ב שלוש כפפות ה שריקות ה רפורמיות ה נקניק היה ייחודי : ה הדפס היה על ה משקע ה קאמרי , ו ה חוסר תיפקד ל פעלי ה צלחות בלבד ; ב שלוש בנות ה הזדמנויות ה אלה לא נסגר יל את שיוך ה תבערה , ו אילו ב השכרת ה התפתחויות של 4891 , הוא אירע אל מנסרות גבוהות יותר בעיקר העברות ה נציבות ב גיור ש כולנו מתקבצים , ו הציג כמעט ב שני דמוקרטים . <eos>	-14.6296	-16.6586	-12.6368	-18.9454	-19.2231	-21.2436	-19.0872	-15.6694	-17.0481	-17.8429	-20.3383	-15.2064	-18.5808	-18.5503	-17.5274	-18.7686	-14.985	-14.6322	-15.13	-17.7821	-17.1528	-19.8437	-18.1568	-16.5627	-13.9499	-17.6823	-14.4569	-17.0535	-16.1716	-17.9529	-15.3876	-16.8083	-17.3387	-16.2058	-20.8843	-16.666
R__NOUN_NOUN_DET_ADJ	137	1	sing	אסתטי	correct	generated	מ ריאליזם איימו ה היתרים מ הבראת ניכור לנהל את צפע ה הלשנה ה	0	False	242	4	14	מ ריאליזם איימו ה היתרים מ הבראת ניכור לנהל את צפע ה הלשנה ה מאוס של ה תאולוגיה ו לשנוא ב סנדק זיוף רחום . <eos>	-13.8933	-15.9822	-15.1092	-13.8733	-13.8099	-14.6501	-9.71115	-13.0838	-13.9326	-13.596	-14.6034	-17.0778	-14.7686	-13.9722	-13.3105	-13.8295	-13.6128	-14.4245	-12.8865	-15.5873	-12.1119	-14.6806	-14.6093	-14.7648	-15.7424	-12.8486	-11.1702	-16.1263	-13.1085	-15.2085	-12.942	-9.61277	-14.5142	-14.5306	-14.5507	-14.2565
R__NOUN_NOUN_DET_ADJ	137	1	sing	אסתטיים	wrong	generated	מ ריאליזם איימו ה היתרים מ הבראת ניכור לנהל את צפע ה הלשנה ה	0	False	137	4	14	מ ריאליזם איימו ה היתרים מ הבראת ניכור לנהל את צפע ה הלשנה ה מאוס של ה תאולוגיה ו לשנוא ב סנדק זיוף רחום . <eos>	-17.3891	-19.1832	-18.6576	-19.5456	-19.4819	-18.165	-15.8297	-16.6782	-18.1493	-16.5445	-21.5511	-21.2108	-20.3722	-19.2699	-20.9209	-17.3961	-16.6272	-18.9129	-15.4374	-19.7088	-17.7533	-18.0127	-14.4928	-18.3637	-18.6779	-18.0172	-17.2625	-17.5507	-16.1873	-21.8255	-16.5271	-19.1693	-21.1439	-17.7155	-21.646	-18.4436
R__NOUN_PUNCT_NOUN_CCONJ_NOUN	2	0	sing	חברה	correct	original	לא רק משום ש הוא טרוד מדי ב בעיות ביטחון , כלכלה ו	0	True	39626	4	13	לא רק משום ש הוא טרוד מדי ב בעיות ביטחון , כלכלה ו חברה ; לא רק מפני ש חסרים לו יסודות כמו טכניקה אישית , מהירות ו סיבולת ; ו גם לא משום ש מישהו סבור , ש ה הוראות ה טקטיות ש הוא מקבל מנוגדות ל צרכים ו אינן עולות ב קנה אחד עם ה מנטליות ו ה אופי , ה כישורים ו יכולת ה ביצוע . <eos>	-4.25625	-3.29164	-4.76564	-2.96378	-3.40704	-2.62033	-3.26041	-5.13032	-4.63744	-2.6554	-2.2117	-2.85691	-3.85626	-3.56459	-3.01303	-3.70507	-3.50083	-3.5807	-2.39687	-3.28829	-3.46991	-3.13033	-3.11936	-2.63202	-3.4587	-3.54068	-4.47781	-3.85891	-2.88842	-3.68614	-3.69967	-3.3101	-3.11726	-3.27711	-3.12713	-3.07219
R__NOUN_PUNCT_NOUN_CCONJ_NOUN	2	0	sing	חברות	wrong	original	לא רק משום ש הוא טרוד מדי ב בעיות ביטחון , כלכלה ו	0	True	14425	4	13	לא רק משום ש הוא טרוד מדי ב בעיות ביטחון , כלכלה ו חברה ; לא רק מפני ש חסרים לו יסודות כמו טכניקה אישית , מהירות ו סיבולת ; ו גם לא משום ש מישהו סבור , ש ה הוראות ה טקטיות ש הוא מקבל מנוגדות ל צרכים ו אינן עולות ב קנה אחד עם ה מנטליות ו ה אופי , ה כישורים ו יכולת ה ביצוע . <eos>	-8.00278	-6.46966	-8.1461	-8.33563	-9.16677	-6.12799	-7.45712	-6.94146	-5.54581	-5.48041	-6.73209	-5.54343	-7.35632	-6.94548	-6.24529	-7.08696	-7.4588	-7.27842	-7.08685	-6.97602	-5.65344	-7.6336	-7.15152	-6.14335	-6.36846	-5.40054	-6.94446	-7.65352	-7.17315	-6.04555	-8.00209	-6.48129	-6.55671	-7.58686	-5.99731	-6.45446
L__NOUN_VERB_VERB	0	0	plur	מזכירים	correct	original	הוא אמר לי במפורש , ש אחדים מ ה אנשים ש מקיפים אותו	0	True	621	4	13	הוא אמר לי במפורש , ש אחדים מ ה אנשים ש מקיפים אותו מזכירים לו לעתים את ה אנשים ש הוא צריך לנאום ב פניהם נאומי שוק ב רחובות . <eos>	-12.4903	-10.0143	-12.1621	-12.4018	-11.417	-13.3925	-14.3256	-9.88616	-12.7227	-10.6587	-13.1111	-10.8348	-11.2703	-10.7845	-9.61517	-11.2442	-13.13	-12.2848	-11.8769	-12.6511	-11.7042	-10.7457	-11.0626	-9.69721	-12.013	-10.581	-12.3856	-9.41932	-13.2819	-9.84115	-12.9842	-10.6912	-11.0458	-11.728	-11.5409	-11.4326
L__NOUN_VERB_VERB	0	0	plur	מזכיר	wrong	original	הוא אמר לי במפורש , ש אחדים מ ה אנשים ש מקיפים אותו	0	True	5604	4	13	הוא אמר לי במפורש , ש אחדים מ ה אנשים ש מקיפים אותו מזכירים לו לעתים את ה אנשים ש הוא צריך לנאום ב פניהם נאומי שוק ב רחובות . <eos>	-12.0408	-10.8652	-13.1986	-11.8603	-12.9982	-13.3315	-12.5463	-10.7909	-12.6489	-10.9855	-13.2117	-11.6431	-11.8202	-12.7421	-11.8864	-13.5427	-13.4182	-12.7867	-11.0227	-12.0951	-10.9039	-11.358	-11.9422	-13.1278	-12.3108	-12.9703	-13.505	-12.5734	-11.7837	-13.1713	-12.122	-11.698	-12.5898	-12.8643	-11.7261	-12.9317
R__NOUN_ADJ_DET_ADJ	8	2	sing	סבור	correct	generated	"או שמא היתה זו מולדתו כ חוסר סמכות <unk> - דחוף , כ טמפו מפעל - ה אדריכלות ה מתאושש ביותר , ו כ תעריף ה פסיכולוגי ב לבישת "" ה חוק ה שרוי ה"	0	True	1031	4	35	"או שמא היתה זו מולדתו כ חוסר סמכות לטינו - דחוף , כ טמפו מפעל - ה אדריכלות ה מתאושש ביותר , ו כ תעריף ה פסיכולוגי ב לבישת "" ה חוק ה שרוי ה מוחלט של ה מושבה ה לטינו - אריסטוטלית "" ? <eos>"	-9.01332	-13.3759	-11.7955	-11.5141	-12.9743	-10.9987	-13.0297	-10.0494	-11.038	-11.0086	-16.0216	-6.99236	-11.6036	-15.1463	-11.6544	-13.3981	-11.6884	-11.6108	-11.1675	-10.3744	-12.1267	-11.7874	-9.48748	-11.0282	-11.4414	-11.7952	-13.477	-13.6664	-10.639	-13.9472	-10.9075	-12.6228	-12.6241	-11.2667	-10.7072	-9.73548
R__NOUN_ADJ_DET_ADJ	8	2	sing	סבורים	wrong	generated	"או שמא היתה זו מולדתו כ חוסר סמכות <unk> - דחוף , כ טמפו מפעל - ה אדריכלות ה מתאושש ביותר , ו כ תעריף ה פסיכולוגי ב לבישת "" ה חוק ה שרוי ה"	0	True	1756	4	35	"או שמא היתה זו מולדתו כ חוסר סמכות לטינו - דחוף , כ טמפו מפעל - ה אדריכלות ה מתאושש ביותר , ו כ תעריף ה פסיכולוגי ב לבישת "" ה חוק ה שרוי ה מוחלט של ה מושבה ה לטינו - אריסטוטלית "" ? <eos>"	-10.1347	-14.5868	-13.161	-10.6941	-14.6036	-11.833	-11.8088	-12.9257	-15.1192	-11.3338	-16.5402	-12.1933	-15.8526	-18.0924	-10.7503	-15.7327	-12.3526	-10.1631	-14.6471	-15.2565	-12.4397	-13.4612	-14.6533	-15.5117	-15.7486	-11.4382	-15.0989	-10.8812	-12.478	-10.1785	-11.7043	-12.491	-15.0976	-11.6534	-12.9225	-14.9794
R__NOUN_DET_ADV_PUNCT_ADJ	12	0	sing	ציונית	correct	original	"ה עיתון "" <unk> <unk> "" ציין עוד , כי נציגי ארה""ב ביקשו להעלות את הצעתם ל ביטול ה החלטה ה אנטי -"	0	True	4347	4	23	"ה עיתון "" מאגאר הירלאף "" ציין עוד , כי נציגי ארה""ב ביקשו להעלות את הצעתם ל ביטול ה החלטה ה אנטי - ציונית עוד ב חודש ספטמבר , אולם עתה הם מהססים להעלות רשמית את ה הצעה , כיוון ש הם חוששים , ש העלאת ה הצעה ב או""ם ב שעה זו עלולה לסכן את אחדות ה קואליציה ה אנטי - עיראקית . <eos>"	-6.64127	-7.69559	-4.89016	-4.24976	-3.535	-6.86266	-7.65852	-4.56927	-8.71671	-5.96249	-5.7082	-4.92064	-4.27464	-2.34414	-5.9573	-9.24792	-9.8746	-7.03742	-8.92538	-10.786	-7.50477	-5.19391	-5.09903	-5.66281	-3.20507	-7.92678	-11.5926	-5.99112	-6.87236	-9.38223	-6.98032	-5.47067	-6.97623	-7.27528	-7.07204	-6.37963
R__NOUN_DET_ADV_PUNCT_ADJ	12	0	sing	ציוניות	wrong	original	"ה עיתון "" <unk> <unk> "" ציין עוד , כי נציגי ארה""ב ביקשו להעלות את הצעתם ל ביטול ה החלטה ה אנטי -"	0	True	512	4	23	"ה עיתון "" מאגאר הירלאף "" ציין עוד , כי נציגי ארה""ב ביקשו להעלות את הצעתם ל ביטול ה החלטה ה אנטי - ציונית עוד ב חודש ספטמבר , אולם עתה הם מהססים להעלות רשמית את ה הצעה , כיוון ש הם חוששים , ש העלאת ה הצעה ב או""ם ב שעה זו עלולה לסכן את אחדות ה קואליציה ה אנטי - עיראקית . <eos>"	-12.0429	-15.3297	-10.746	-11.0895	-12.7827	-13.3901	-10.2988	-12.3902	-10.5282	-11.6555	-9.49451	-12.279	-13.233	-11.3713	-11.9067	-11.4234	-12.1831	-13.2081	-14.3184	-13.7145	-10.6728	-12.3331	-12.8203	-10.2305	-10.2486	-14.4656	-14.7167	-11.7121	-13.853	-16.4087	-12.5955	-11.6413	-12.9759	-10.7056	-10.8486	-14.4173
R__NOUN_NOUN_DET_ADJ	149	0	sing	לאומית	correct	original	כהונת מושל ב מדינה גדולה היא קרש קפיצה אל מרכז תשומת ה לב ה	0	False	10536	4	14	כהונת מושל ב מדינה גדולה היא קרש קפיצה אל מרכז תשומת ה לב ה לאומית . <eos>	-3.53465	-4.20092	-5.70391	-4.73788	-4.75173	-7.21941	-4.23385	-6.0098	-4.2391	-6.30788	-3.66291	-5.15204	-3.71811	-4.11405	-2.95019	-4.71364	-4.82753	-5.43438	-3.51874	-4.81263	-3.61147	-6.71347	-5.11649	-6.22095	-5.1506	-5.14327	-5.62465	-4.31123	-4.15029	-4.70756	-4.22143	-4.5523	-4.29959	-3.77238	-4.44183	-5.71248
R__NOUN_NOUN_DET_ADJ	149	0	sing	לאומיות	wrong	original	כהונת מושל ב מדינה גדולה היא קרש קפיצה אל מרכז תשומת ה לב ה	0	False	2104	4	14	כהונת מושל ב מדינה גדולה היא קרש קפיצה אל מרכז תשומת ה לב ה לאומית . <eos>	-12.8036	-11.7721	-9.95603	-12.3049	-13.3264	-15.1098	-10.4078	-11.2122	-10.8268	-12.0447	-10.8988	-11.9178	-12.0803	-14.4028	-10.9477	-10.7616	-11.4048	-12.011	-12.3028	-11.7464	-11.7946	-12.1672	-13.5406	-14.3658	-11.9877	-10.1102	-11.4402	-12.2485	-11.1697	-13.2341	-10.1783	-12.0552	-15.2304	-11.9863	-11.0828	-14.3538
R__NOUN_ADJ_DET_ADJ	51	5	sing	טרופי	correct	generated	חיווט מרור מראש של אונייה כ זאת עם ה ביטוח ה טרוריסט ה	0	False	612	4	13	חיווט מרור מראש של אונייה כ זאת עם ה ביטוח ה טרוריסט ה אימתני ב דייר עלול להסתפק ל צלילים , ש ל רצוני תשנה הצמדת הפגזת ה פרישה אטווד , ו ה רוקפור ה מיושן ש נמאס נגד אלכס בעקבותיה , כ קומפקט מיליגרם . <eos>	-14.63	-12.2433	-14.6585	-13.3137	-12.3481	-10.5857	-13.7901	-10.5419	-15.187	-14.0341	-14.0713	-14.0009	-14.43	-11.7705	-13.7876	-12.2773	-11.7551	-13.0261	-11.3236	-9.32687	-11.7036	-10.534	-13.9658	-11.8357	-14.0207	-11.6022	-9.93267	-15.4543	-10.8401	-11.48	-12.7962	-9.75264	-11.5441	-12.5211	-9.81581	-10.5982
R__NOUN_ADJ_DET_ADJ	51	5	sing	טרופיים	wrong	generated	חיווט מרור מראש של אונייה כ זאת עם ה ביטוח ה טרוריסט ה	0	False	551	4	13	חיווט מרור מראש של אונייה כ זאת עם ה ביטוח ה טרוריסט ה אימתני ב דייר עלול להסתפק ל צלילים , ש ל רצוני תשנה הצמדת הפגזת ה פרישה אטווד , ו ה רוקפור ה מיושן ש נמאס נגד אלכס בעקבותיה , כ קומפקט מיליגרם . <eos>	-17.0123	-18.4108	-19.0939	-16.3262	-17.3696	-19.9777	-19.2393	-19.857	-18.0483	-20.1862	-21.9609	-18.2957	-20.5459	-19.1577	-17.3223	-18.434	-17.7771	-17.7996	-19.4405	-17.5807	-19.5849	-16.2598	-19.2612	-16.1178	-22.3761	-19.7666	-15.6011	-21.2895	-18.9659	-18.1081	-18.5335	-17.1823	-19.0569	-20.7958	-17.3867	-14.3099
L__NOUN_ADJ_PROPN_VERB	2	7	plur	מוקצים	correct	generated	גם אם שורץ ש ה עקבות ה רציניים של פיליפו - מיכאל - יואב	0	True	88	9	14	גם אם שורץ ש ה עקבות ה רציניים של פיליפו - מיכאל - יואב פחמנים מ כמה מבחנים ב דיוק זה , הם כבר השוו להתמקד התרעה . <eos>	-20.2569	-20.9941	-19.3612	-20.4839	-17.3867	-18.3441	-15.0226	-18.1155	-19.7383	-20.41	-17.9557	-19.4746	-20.6908	-18.7445	-18.3722	-19.124	-20.1618	-20.6982	-19.3547	-22.6209	-19.5113	-20.0262	-18.2484	-19.1278	-20.8766	-17.9008	-17.676	-21.666	-18.995	-17.9783	-19.8716	-20.4629	-20.0298	-19.8608	-18.7124	-20.9597
L__NOUN_ADJ_PROPN_VERB	2	7	plur	מוקצה	wrong	generated	גם אם שורץ ש ה עקבות ה רציניים של פיליפו - מיכאל - יואב	0	True	272	9	14	גם אם שורץ ש ה עקבות ה רציניים של פיליפו - מיכאל - יואב פחמנים מ כמה מבחנים ב דיוק זה , הם כבר השוו להתמקד התרעה . <eos>	-20.0494	-17.7006	-15.7768	-16.4129	-15.8175	-18.8526	-14.3632	-14.7301	-16.0049	-14.8537	-17.9466	-20.7867	-19.4923	-19.6118	-19.2658	-16.8973	-15.3767	-15.42	-14.2383	-18.0632	-17.7865	-16.5248	-20.1981	-15.9543	-17.1494	-16.587	-17.3665	-21.3458	-15.8706	-18.1942	-18.0534	-19.6056	-17.6087	-16.955	-16.7399	-18.5478
R__VERB_NOUN_CCONJ_VERB	3	0	sing	מביעה	correct	original	קבלו אמר ש הנהלת ה פועל בית <unk> מתייחסת ב חומרה רבה ו	0	False	202	5	13	קבלו אמר ש הנהלת ה פועל בית שאן מתייחסת ב חומרה רבה ו מביעה שאט נפש מ ה רעיון של כמה שחקני ה קבוצה לעמוד דקת דומיה ו לענוד סרט שחור ב משחק נגד אום אל - פאחם . <eos>	-9.43075	-8.53554	-9.77581	-10.5437	-8.22664	-9.69704	-9.86083	-10.106	-8.86785	-9.47007	-7.76115	-7.60499	-9.86817	-7.32658	-8.56985	-8.87786	-8.93577	-9.39883	-8.35825	-9.0054	-8.48941	-8.12682	-9.87698	-8.31451	-9.21356	-8.18307	-7.37097	-7.49704	-9.2179	-8.37305	-9.10156	-9.13444	-7.08833	-9.05891	-8.44195	-8.30828
R__VERB_NOUN_CCONJ_VERB	3	0	sing	מביעות	wrong	original	קבלו אמר ש הנהלת ה פועל בית <unk> מתייחסת ב חומרה רבה ו	0	False	61	5	13	קבלו אמר ש הנהלת ה פועל בית שאן מתייחסת ב חומרה רבה ו מביעה שאט נפש מ ה רעיון של כמה שחקני ה קבוצה לעמוד דקת דומיה ו לענוד סרט שחור ב משחק נגד אום אל - פאחם . <eos>	-12.466	-11.1262	-10.7949	-12.3318	-11.9742	-12.46	-12.6581	-11.7686	-10.4925	-12.3288	-11.0739	-13.7003	-12.4101	-10.5965	-10.3304	-13.0017	-11.5325	-11.9145	-10.9982	-10.9528	-10.4598	-11.9383	-12.3825	-13.2554	-12.3883	-10.8028	-11.8844	-10.8384	-10.6064	-11.5173	-11.3793	-12.4173	-11.0339	-10.5642	-11.5448	-10.1592
R__NOUN_ADJ_DET_ADJ	49	7	sing	חילונית	correct	generated	אלפי מגברי משיחה זמניים נקלטו את הגדת ארונית ה התכווצות ה תיכונית ב השתלבות מ סדרות ש הורשעו לקנות על ה פרדוקסים ב עצמת בידול ה קבוצה ה חליפית ה	0	False	869	4	30	אלפי מגברי משיחה זמניים נקלטו את הגדת ארונית ה התכווצות ה תיכונית ב השתלבות מ סדרות ש הורשעו לקנות על ה פרדוקסים ב עצמת בידול ה קבוצה ה חליפית ה מרדנית . <eos>	-10.794	-10.8169	-10.7606	-12.7956	-9.52083	-10.337	-10.2216	-10.0145	-12.3345	-12.7328	-10.0692	-12.7565	-9.00185	-9.11852	-10.7266	-12.034	-13.6443	-11.7406	-10.1082	-11.8497	-9.81523	-8.68821	-10.8875	-9.76671	-9.97031	-10.228	-10.9614	-11.1537	-9.4289	-11.5984	-10.11	-9.96592	-10.406	-10.7673	-11.0675	-11.6702
R__NOUN_ADJ_DET_ADJ	49	7	sing	חילוניות	wrong	generated	אלפי מגברי משיחה זמניים נקלטו את הגדת ארונית ה התכווצות ה תיכונית ב השתלבות מ סדרות ש הורשעו לקנות על ה פרדוקסים ב עצמת בידול ה קבוצה ה חליפית ה	0	False	378	4	30	אלפי מגברי משיחה זמניים נקלטו את הגדת ארונית ה התכווצות ה תיכונית ב השתלבות מ סדרות ש הורשעו לקנות על ה פרדוקסים ב עצמת בידול ה קבוצה ה חליפית ה מרדנית . <eos>	-14.2914	-14.7246	-14.5339	-14.1954	-13.0728	-14.747	-15.7594	-15.5344	-14.1776	-17.2905	-16.5673	-17.7221	-16.6546	-15.0923	-17.2029	-16.0376	-15.5018	-14.5276	-16.5769	-17.5987	-18.0266	-13.8814	-15.1946	-16.3198	-16.0464	-15.2904	-16.3189	-18.5793	-13.7876	-16.5468	-14.6466	-14.859	-17.3963	-15.7206	-16.5333	-14.786
R__NOUN_NOUN_PUNCT_SCONJ_VERB	18	8	plur	מומרים	correct	generated	עבדי ה גמגום , ה	1	True	164	5	5	עבדי ה גמגום , ה מודרכים שלא ל חוצן ב פוגה ה גשומה ב אקליפטוס ה כדורסל , מוטים כי קשה לשוב ש אורון יפסיד לדווח יבשת אינסטרומנטאלית בטרם שפעת ה טייסים ה ארכאולוגיים ה לקויי ל וולסלי , ש תידרש כנראה רק ב טיפוח לוביה . <eos>	-13.9271	-10.2067	-10.8752	-10.54	-11.929	-11.2129	-11.8903	-11.118	-11.1198	-10.0176	-12.6335	-12.5897	-12.7982	-10.1436	-12.0313	-11.56	-11.5293	-12.0184	-11.6758	-11.5798	-11.8544	-11.6873	-11.6172	-11.6211	-12.539	-10.4997	-10.7849	-11.8201	-11.4338	-11.6604	-11.7058	-11.4603	-11.9482	-12.9922	-11.4937	-11.789
R__NOUN_NOUN_PUNCT_SCONJ_VERB	18	8	plur	מומר	wrong	generated	עבדי ה גמגום , ה	1	True	259	5	5	עבדי ה גמגום , ה מודרכים שלא ל חוצן ב פוגה ה גשומה ב אקליפטוס ה כדורסל , מוטים כי קשה לשוב ש אורון יפסיד לדווח יבשת אינסטרומנטאלית בטרם שפעת ה טייסים ה ארכאולוגיים ה לקויי ל וולסלי , ש תידרש כנראה רק ב טיפוח לוביה . <eos>	-10.3791	-12.4131	-9.76409	-9.66784	-11.1143	-9.27489	-12.4881	-10.557	-10.4118	-11.7238	-12.6835	-13.0567	-11.6258	-10.4311	-11.0546	-10.4322	-10.2747	-10.8254	-11.0761	-10.7578	-10.1129	-13.7929	-12.2784	-11.6291	-12.0959	-10.7956	-12.112	-12.3575	-9.91556	-12.0229	-9.60607	-11.943	-11.7577	-11.6837	-11.6234	-11.4367
R__NOUN_ADJ_DET_ADJ	41	4	sing	מרשימה	correct	generated	אחרת קשה לבלוט כיצד נופשים אלה לא החליפו את עצמם רגולציה אדמיניסטרטיבית אחת : לשם מה הבפטיסטריום ל לופס יונג כל ה תקופה ה קלאסית ה	0	True	862	4	26	אחרת קשה לבלוט כיצד נופשים אלה לא החליפו את עצמם רגולציה אדמיניסטרטיבית אחת : לשם מה הבפטיסטריום ל לופס יונג כל ה תקופה ה קלאסית ה סאסאנית ש התארח ל עצמו גם לאחר כוחו על אדנוזין . <eos>	-7.15947	-10.6276	-9.26839	-8.47434	-8.97982	-7.67747	-9.97449	-9.8375	-8.70356	-9.51873	-7.44765	-9.19485	-9.1138	-9.38323	-8.59579	-8.67729	-7.57743	-8.5566	-7.91751	-8.37579	-7.87955	-10.1945	-10.0523	-10.3476	-7.74373	-8.95782	-7.51848	-10.2306	-7.43869	-8.79912	-7.4313	-10.3163	-9.07217	-9.18376	-7.30999	-8.47419
R__NOUN_ADJ_DET_ADJ	41	4	sing	מרשימות	wrong	generated	אחרת קשה לבלוט כיצד נופשים אלה לא החליפו את עצמם רגולציה אדמיניסטרטיבית אחת : לשם מה הבפטיסטריום ל לופס יונג כל ה תקופה ה קלאסית ה	0	True	284	4	26	אחרת קשה לבלוט כיצד נופשים אלה לא החליפו את עצמם רגולציה אדמיניסטרטיבית אחת : לשם מה הבפטיסטריום ל לופס יונג כל ה תקופה ה קלאסית ה סאסאנית ש התארח ל עצמו גם לאחר כוחו על אדנוזין . <eos>	-12.7654	-13.7614	-11.4183	-12.0165	-12.0476	-11.9257	-14.8529	-12.6832	-11.499	-13.3419	-12.9427	-13.3074	-12.435	-12.7906	-14.5441	-12.6292	-12.7557	-12.7208	-11.6908	-11.5735	-11.3673	-13.1738	-13.5727	-14.0037	-11.6825	-14.2318	-12.5462	-15.4434	-12.559	-14.8754	-12.8761	-13.8461	-12.3446	-14.0943	-13.2001	-12.5117
